text,label
"Subject: Important - Tax Document
From: no-reply@update-payments.example
To: user4507@example.com

Dear Sam,
Your tax document is ready at http://fake-bank.example/verify?id=23434. Please download and review.

Tax Office",1
"Subject: Important - Tax Document
From: alerts@update-payments.example
To: user9675@example.com

Dear Morgan,
Your tax document is ready at http://update-payments.example/verify?id=38657. Please download and review.

Tax Office",1
"Subject: Action Required: Password Reset
From: alerts@confirm-id.example
To: user435@example.com

Hi Chris,
Your account will be locked unless you reset your password here: http://fake-bank.example/verify?id=81426

Support",1
"Subject: Update Payment Method
From: support@payment-alerts.example
To: user9655@example.com

Dear Casey,
We couldn't process your last payment. Update your billing details now: http://fake-bank.example/verify?id=65392

Billing Team",1
"Subject: Invoice Attached
From: billing@secure-login.example
To: user3528@example.com

Hello Riley,
Please review the attached invoice and pay immediately: http://payment-alerts.example/verify?id=22676

Finance Dept",1
"Subject: Invoice Attached
From: billing@confirm-id.example
To: user4334@example.com

Hello Alex,
Please review the attached invoice and pay immediately: http://confirm-id.example/verify?id=26361

Finance Dept",1
"Subject: Update Payment Method
From: no-reply@confirm-id.example
To: user4804@example.com

Dear Pat,
We couldn't process your last payment. Update your billing details now: http://secure-login.example/verify?id=19116

Billing Team",1
"Subject: Urgent - Verify your account
From: support@malicious-link.example
To: user4742@example.com

Dear Jordan,
We detected suspicious activity on your account. Please verify immediately: http://payment-alerts.example/verify?id=46434

Regards,
Security Team",1
"Subject: Update Payment Method
From: billing@secure-login.example
To: user6066@example.com

Dear Riley,
We couldn't process your last payment. Update your billing details now: http://verify-account.example/verify?id=99593

Billing Team",1
"Subject: Important - Tax Document
From: no-reply@confirm-id.example
To: user2804@example.com

Dear Chris,
Your tax document is ready at http://secure-login.example/verify?id=70589. Please download and review.

Tax Office",1
"Subject: Update Payment Method
From: billing@fake-bank.example
To: user9126@example.com

Dear Sam,
We couldn't process your last payment. Update your billing details now: http://malicious-link.example/verify?id=17331

Billing Team",1
"Subject: Action Required: Password Reset
From: no-reply@malicious-link.example
To: user5169@example.com

Hi Morgan,
Your account will be locked unless you reset your password here: http://secure-login.example/verify?id=84341

Support",1
"Subject: Important - Tax Document
From: billing@secure-login.example
To: user8180@example.com

Dear Morgan,
Your tax document is ready at http://secure-login.example/verify?id=44718. Please download and review.

Tax Office",1
